X,Y,osm_id,name,barrier,highway,ref,address,is_in,place,man_made,other_tags
-74.0840202,40.626431,4706490040,,,crossing,,,,,,"""crossing""=>""unmarked"""
-73.9106625,40.8482459,2807512158,,,,,,,,,"""addr:street""=>""Townsend Avenue"",""addr:postcode""=>""10453"",""addr:housenumber""=>""1792"""
-73.9827191,40.7682785,3785207157,CNN Headquarters,,,,,,,,"""phone""=>""212-275-7800"",""office""=>""company"",""smoking""=>""no"",""addr:city""=>""New York"",""addr:state""=>""NY"",""addr:street""=>""Columbus Circle"",""addr:postcode""=>""10019"",""opening_hours""=>""24/7"",""addr:housenumber""=>""10"""
-73.9991579,40.6564803,2562015447,,,,,,,,,"""addr:street""=>""30th Street"",""addr:postcode""=>""11232"",""addr:housenumber""=>""216"""
-73.8635216,40.8881201,2822896383,Saint Mary School,,,,,,,,"""amenity""=>""school"",""addr:street""=>""Carpenter Avenue"",""gnis:created""=>""01/23/1980"",""addr:postcode""=>""10466"",""gnis:state_id""=>""36"",""gnis:county_id""=>""005"",""gnis:feature_id""=>""963975"",""addr:housenumber""=>""3956"""
-74.3479462,40.6523903,1978292391,Staple's,,,,,,,,"""shop""=>""stationery"""
-73.9571289,40.7857444,2724279280,,,,,,,,,"""addr:street""=>""5th Avenue"",""addr:postcode""=>""10128"",""addr:housenumber""=>""1114"""
-73.7586627,40.7058603,2870464713,,,,,,,,,"""addr:street""=>""198th Street"",""addr:postcode""=>""11412"",""addr:housenumber""=>""109-25"""
-73.8734445,40.7275906,2844045080,,,,,,,,,"""addr:street""=>""Eliot Avenue"",""addr:postcode""=>""11379"",""addr:housenumber""=>""84-42"""
-73.7970082,40.7075871,2870708968,,,,,,,,,"""addr:street""=>""89th Avenue"",""addr:postcode""=>""11432"",""addr:housenumber""=>""164-03"""
-73.9030551,40.617251,2566217272,,,,,,,,,"""addr:street""=>""Avenue W"",""addr:postcode""=>""11234"",""addr:housenumber""=>""7201"""
-73.7446903,40.9866392,254590209,,,traffic_signals,,,,,,
-73.9500929,40.7535241,2476133305,,,,,,,,,"""natural""=>""tree"""
-73.9146832,40.8333563,2799822068,,,,,,,,,"""addr:street""=>""East 167th Street"",""addr:postcode""=>""10456"",""addr:housenumber""=>""256"""
-73.8336111,40.7622222,357617417,New York Philadelphia Presbyterian Church,,,,,,,,"""amenity""=>""place_of_worship"",""religion""=>""christian"",""gnis:created""=>""12/02/2005"",""gnis:state_id""=>""36"",""gnis:county_id""=>""081"",""gnis:feature_id""=>""2080130"""
-74.3817079,40.6644502,105405395,,,turning_circle,,,,,,
-74.1148352,40.6079419,2543723851,,,,,,,,,"""addr:street""=>""Athena Place"",""addr:postcode""=>""10314"",""addr:housenumber""=>""5"""
-74.4191956,40.6246163,105502664,,,turning_circle,,,,,,
